address,balance
0xA24A834AB894Ad94B59bcE37b320f80E3371D1c9,3076292505679895201
0x3A6e0DF93d9377f6224C68bFA6053230389E2f92,3042492693186320954
0x5aC6D347306F8EEF7f8eDBAD4077AF4B9afA1a92,2931374742257498954
0x8054cCa68269b2F5C07233dbd4EA63CE0C23D7Bf,2862304592154463296
0xd75e7d1A42b616A24a8AFA71a462D74738a87d50,2852750220176502201
0x132B630750A2CB0e28B2E151C28F0deAD88C02FC,2819859792060361734
0x3e9dd8088Fe88472621f67Ac502b784f0D852b71,2817331197776911663
0x8AF5DD2242d597F71126719949A9FcAb379C4464,2806086656315910398
0x78c0d804CC8bD42c758619A054c69FF3db91b625,2630858560326293854
0x7a407D0c0339a789e70bd67b4422eEe89F068987,2557739849427041629
0xdF3504E9d05E54197F5d6Db864194b199258571D,2508177156393079760
0x1f72ADEE65125Ac3903c6161AE36212eeEccc241,2405504745365138738
0xe32d2BB82d67dF9fc231Dfc92b77E3385D5CACA6,2329800910577652160
0x25548Ba111d4F6cbA0498Ab77a6b40EACbeFab52,2232960897565135726
0x8Ea7c218d19BAbBBb7aE9BB95b604503b3ca5f50,2224054496292657379
0x692A1173d53Ac1C35E5dB7820b78F12f150edF65,2165520665939239737
0x006BEa45C9BaC61dBBbdc629910D57a8EC479800,2136046838046144793
0x33f6564Ea0503688051b2ea3E1d8EDA55F3DE771,2115039245223948713
0x9e6f39451Fecf1C0FEc480E33F1d0e7D7F297F98,2082224857093070386
0x758E8229Dd38cF11fA9E7c0D5f790b4CA16b3B16,2023643512044468575
0xDD0bA0BEaD4b384Fc0FEf7ff44C27f39b86D0536,1976710873895050876
0x926DF5285168462576781f1F38CD491Cc7533501,1974634927832332429
0x3e88F4e2e4F78acD018a463B69Eb1ed8D011111A,1808076920416325492
0x310baE96934d45b7Ecd4E6776202BbA54a95D70C,1719907732936886124
0x5EdE3736487AB34D28781C079d34c1309Df951c1,1717814886594505963
0xA69e47722A78A93a72801cFEDB45d94606e104AF,1705531208439574269
0xF292E2d2b321b0DF16846f8e3F0289a3B11400BD,1686008529672700410
0x5331B33C56020465E585f873A9722fd1A702c431,1629377761502106053
0xAbf864065fdEB8996eB5469d6C25aae84507d231,1592445737767630864
0x28341B173178E37f0Cd2A5B35A09A60d70c6f12C,1457126482547017597
0xde8d3AE3775798326D6D839A10ECEDb4bD9cBaeC,1450760129272198470
0x95c313F8b1326A3C72c1B8C617c0ecc9491DFbA9,1444329529834729824
0xfb2F826594d61f5c1636c4704F863BBFd1979f10,1441120029156823037
0x89e3D95E42eCe773d11D824270F0fA5D7EeA89E5,1423350282474659838
0x0000000000234A48603574189845c2D27028DAd3,1410272316860453293
0x25a08D6c68183a371fD6015a28ad9a0aA57a9c57,1387141565158561783
0x9419F086C959a0E2A5b58f1501343Bcef8FE821f,1357473519629268537
0xcBa06D027a25fa9BA130756Cc71253452c9DB98E,1329185508375538232
0x3Dc932eEdD9c39d88Da7ea1BDCf10f2EAb82f9F6,1277607294142804485
0x832bc12fD9889cd08f30e091f94aF4688061865A,1213348232765259798
0xd674552762Fed4FFD389d1d3d7B2E6ba8BceDc7B,1185310723965310461
0x69992e899f7BAa4d4C967887a5581e9aF744fF26,1160334961988551277
0x7EBf0696a32bf65f27432C08Dc48C7EE446DC24E,1149918820143845662
0x7cC1B7D3066fef8042aa264c4b9EE0cab3810442,1125794726158069588
0xd6feED92116c6DeEc8E34339c28648C0eD13B5B9,1102112285680629974
0x1Da891d98813DB019d179709e5e4527a031BABC4,1100409173058440924
0xD43975Be509eA732A3BD64F2D5fa34D355A8F911,1090497060549483432
